,first_name,last_name,email,phone_number,source,user_type
0,Jeffery,Williamson,mccormickchristopher@example.org,(504)270-9785,merchandise_buyers,regular_user
1,Daniel,Chapman,latasha12@example.net,859.493.3029x882,merchandise_buyers,regular_user
2,Jeffrey,Walker,randywade@example.net,(956)521-3326,merchandise_buyers,semi_super_user
3,Gregory,Hanson,waltermathews@example.com,666.782.0002x700,merchandise_buyers,regular_user
4,Matthew,Williamson,etaylor@example.net,001-901-860-5785,merchandise_buyers,regular_user
5,Christopher,Moon,jacksonthomas@example.org,001-937-920-0534x1339,merchandise_buyers,regular_user
6,Stephanie,King,madisonharris@example.org,+1-639-300-2706x4727,merchandise_buyers,regular_user
7,Daniel,Gould,larsenjohnny@example.org,001-349-666-7625,merchandise_buyers,regular_user
8,Candace,Brown,qchavez@example.com,(560)376-0763x95481,merchandise_buyers,regular_user
9,Stephen,Lee,mitchellstephanie@example.com,560.549.1709x740,merchandise_buyers,semi_super_user
10,Debra,Brown,stevenwilson@example.com,6453678988,merchandise_buyers,super_user
11,Stacey,Moyer,gwalker@example.org,768.378.5991x5688,merchandise_buyers,semi_super_user
12,Jeremy,Hayes,pbell@example.org,671-748-8986x39395,merchandise_buyers,regular_user
13,Jessica,Ruiz,luke74@example.net,(804)204-7219,merchandise_buyers,semi_super_user
14,Chad,Pena,kennethturner@example.com,+1-322-597-8680x5071,merchandise_buyers,semi_super_user
15,Sean,Bowen,suzanne54@example.com,934.952.7073x94161,merchandise_buyers,regular_user
16,Bryan,Dunlap,brianna71@example.com,794.428.1173,merchandise_buyers,semi_super_user
17,Eric,Becker,dhowe@example.net,887-495-4911x5694,merchandise_buyers,semi_super_user
18,Alyssa,Lee,angelica42@example.net,(728)738-7295x0793,merchandise_buyers,regular_user
19,Rebecca,Cortez,deannashepherd@example.net,(983)859-7902,merchandise_buyers,regular_user
20,Matthew,King,barryschneider@example.com,+1-209-973-2903,merchandise_buyers,regular_user
21,Zachary,Hess,westrada@example.net,(257)481-8090,merchandise_buyers,semi_super_user
22,Kimberly,Parker,lisamcdaniel@example.com,+1-498-290-7205x3417,merchandise_buyers,regular_user
23,Austin,Hernandez,vwashington@example.net,001-845-945-3135x652,merchandise_buyers,super_user
24,Roberto,Green,samanthacortez@example.net,811-335-5943,merchandise_buyers,semi_super_user
25,Katie,Khan,garretthansen@example.net,897.332.9136x600,merchandise_buyers,regular_user
26,Sandra,Dixon,pporter@example.com,+1-696-221-0182x40931,merchandise_buyers,regular_user
27,William,Schmitt,kjames@example.com,001-950-590-0453x6078,merchandise_buyers,regular_user
28,Nicole,Lopez,aprilbailey@example.net,001-687-656-1155,merchandise_buyers,regular_user
29,Patricia,Hall,claudiaturner@example.com,+1-894-864-1002x1671,merchandise_buyers,regular_user
30,Christopher,Bird,haley24@example.net,2713477534,merchandise_buyers,regular_user
31,Sarah,Roberts,thomaskenneth@example.net,001-208-753-2134x95809,merchandise_buyers,regular_user
32,Lori,Brewer,cholmes@example.com,(244)932-9267x51173,merchandise_buyers,regular_user
33,Jonathan,Yates,ramosjohn@example.com,503-674-6665x7752,merchandise_buyers,regular_user
34,Jaclyn,Singleton,daniellove@example.org,672.785.2509,merchandise_buyers,regular_user
35,Peter,Brown,frankmann@example.org,6337144545,merchandise_buyers,semi_super_user
36,James,Aguirre,ytaylor@example.com,+1-573-666-4656x79852,merchandise_buyers,regular_user
37,Julie,Mason,xkim@example.net,001-671-837-8734x74701,merchandise_buyers,regular_user
38,Carlos,Walker,danielle43@example.net,753-376-3735x7648,merchandise_buyers,semi_super_user
39,Dean,Norris,valerie13@example.com,543-683-3664x22390,merchandise_buyers,regular_user
