,id,first_name,last_name,phone_number,email,purchasedate,moneyspent
0,732,Jeffery,Williamson,(504)270-9785,mccormickchristopher@example.org,2022-04-24,26.0
1,1220,Daniel,Chapman,859.493.3029x882,latasha12@example.net,2022-06-17,11.0
2,3348,Jeffrey,Walker,(956)521-3326,randywade@example.net,2023-08-12,150.0
3,2020,Gregory,Hanson,666.782.0002x700,waltermathews@example.com,2023-01-28,136.0
4,1076,Matthew,Williamson,001-901-860-5785,etaylor@example.net,2021-04-09,27.0
5,2133,Christopher,Moon,001-937-920-0534x1339,jacksonthomas@example.org,2019-12-28,12.0
6,1321,Stephanie,King,+1-639-300-2706x4727,madisonharris@example.org,2021-03-11,4.0
7,964,Daniel,Gould,001-349-666-7625,larsenjohnny@example.org,2020-08-16,146.0
8,2862,Candace,Brown,(560)376-0763x95481,qchavez@example.com,2023-08-06,18.0
9,2752,Stephen,Lee,560.549.1709x740,mitchellstephanie@example.com,2023-06-10,74.0
10,2512,Debra,Brown,6453678988,stevenwilson@example.com,2020-03-04,40.0
11,3498,Stacey,Moyer,768.378.5991x5688,gwalker@example.org,2022-11-29,16.0
12,3571,Jeremy,Hayes,671-748-8986x39395,pbell@example.org,2021-03-10,11.0
13,3354,Jessica,Ruiz,(804)204-7219,luke74@example.net,2021-04-07,51.0
14,2332,Chad,Pena,+1-322-597-8680x5071,kennethturner@example.com,2019-03-27,138.0
15,178,Sean,Bowen,934.952.7073x94161,suzanne54@example.com,2023-07-02,97.0
16,393,Bryan,Dunlap,794.428.1173,brianna71@example.com,2020-07-04,132.0
17,3261,Eric,Becker,887-495-4911x5694,dhowe@example.net,2023-05-10,138.0
18,3663,Alyssa,Lee,(728)738-7295x0793,angelica42@example.net,2019-03-21,44.0
19,487,Rebecca,Cortez,(983)859-7902,deannashepherd@example.net,2023-04-18,13.0
20,312,Matthew,King,+1-209-973-2903,barryschneider@example.com,2020-08-12,17.0
21,786,Zachary,Hess,(257)481-8090,westrada@example.net,2020-07-21,21.0
22,3488,Kimberly,Parker,+1-498-290-7205x3417,lisamcdaniel@example.com,2019-11-05,36.0
23,2199,Austin,Hernandez,001-845-945-3135x652,vwashington@example.net,2019-09-19,107.0
24,3916,Roberto,Green,811-335-5943,samanthacortez@example.net,2021-10-22,67.0
25,3229,Katie,Khan,897.332.9136x600,garretthansen@example.net,2019-03-02,49.0
26,3256,Sandra,Dixon,+1-696-221-0182x40931,pporter@example.com,2019-01-22,19.0
27,1486,William,Schmitt,001-950-590-0453x6078,kjames@example.com,2020-04-16,106.0
28,1350,Nicole,Lopez,001-687-656-1155,aprilbailey@example.net,2021-07-03,62.0
29,2811,Patricia,Hall,+1-894-864-1002x1671,claudiaturner@example.com,2023-04-05,40.0
30,2573,Christopher,Bird,2713477534,haley24@example.net,2019-12-02,130.0
31,1316,Sarah,Roberts,001-208-753-2134x95809,thomaskenneth@example.net,2021-04-14,104.0
32,1549,Lori,Brewer,(244)932-9267x51173,cholmes@example.com,2020-01-31,24.0
33,3726,Jonathan,Yates,503-674-6665x7752,ramosjohn@example.com,2022-01-27,52.0
34,2128,Jaclyn,Singleton,672.785.2509,daniellove@example.org,2022-03-12,41.0
35,3712,Peter,Brown,6337144545,frankmann@example.org,2019-02-26,50.0
36,2355,James,Aguirre,+1-573-666-4656x79852,ytaylor@example.com,2019-05-19,69.0
37,1847,Julie,Mason,001-671-837-8734x74701,xkim@example.net,2021-01-03,105.0
38,3426,Carlos,Walker,753-376-3735x7648,danielle43@example.net,2023-07-25,77.0
39,935,Dean,Norris,543-683-3664x22390,valerie13@example.com,2020-12-24,48.0
40,2927,Kristine,Hudson,9538585919,phillipscheryl@example.net,2018-12-16,10.0
41,2878,Laura,Miller,(817)663-8780,oward@example.org,2022-05-22,0.0
42,3281,Elizabeth,Howell,613.300.5555x883,jodi57@example.net,2021-07-10,74.0
43,1919,Michael,Daniels,(491)351-0964,ronaldrobinson@example.org,2021-05-06,19.0
44,923,Amy,Carter,3713712274,whitney03@example.net,2020-10-06,126.0
45,888,Brandy,Hill,001-744-911-7039x032,rrobinson@example.org,2018-12-20,119.0
46,2860,Joel,Williams,649.381.1856,suzanne78@example.org,2018-10-15,13.0
47,363,Anthony,Poole,3637023352,xphillips@example.net,2021-02-17,11.0
