,id,first_name,last_name,phone_number,email,gender,age,streetaddress,city,usstate,zipcode,dateenrolled,gradyear,degree,major,stillattending
0,1463,Susan,Griffin,725-743-4870,jennifer22@example.org,male,37,02472 Mcgrath Plains,New Richard,MO,99686,2016-06-15,2020,Master's,Education,false
1,3116,Jane,Rodriguez,633.875.6956x4351,joshuaenglish@example.org,female,29,33029 Martin Mountains,Johnview,VI,91176,2018-04-11,2023,Bachelor's,Computer Science,false
2,1706,Craig,Baker,826.456.4077,shannonanthony@example.net,female,24,152 Danielle Motorway,East Adam,LA,16680,2018-07-22,2023,Bachelor's,Music,false
3,3204,Michael,Hardy,839-360-0629,jlong@example.com,male,29,51296 Megan Lakes Suite 475,North Michael,LA,58077,2017-09-02,2021,Bachelor's,Music,true
4,199,Jennifer,Baldwin,001-769-985-1979x46509,ortegalauren@example.org,female,40,592 Barbara Mount,Owensville,NJ,14305,2015-04-18,2020,Master's,Philosophy,false
5,1357,Tiffany,Powell,+1-745-715-7723x71795,haleymorgan@example.net,female,35,280 Smith Freeway Suite 050,West Gregoryfurt,HI,11187,2014-04-09,2019,Bachelor's,History,false
6,4,Mark,Cuevas,(820)736-9779,hortonshelly@example.net,male,29,873 James Hills,North Dustin,ID,45376,2014-06-06,2019,Bachelor's,Astronomy,false
7,1615,Tony,Robinson,3676016393,steven02@example.org,male,39,35818 Brenda Estate,Adrianborough,MN,98529,2018-02-03,2022,Bachelor's,Information Technology,false
8,2884,Brandi,Sims,812-974-6956x456,bowenmonica@example.net,female,24,40838 Nichols Plaza,Port Stephanie,WY,87146,2017-05-22,2022,Bachelor's,Computer Information Systems,true
9,3856,Lindsay,Walls,846.441.5729x740,christophertorres@example.org,male,25,850 Amy Center,Brownstad,VT,50444,2016-11-15,2020,Master's,Music,false
10,2075,Danielle,Mccormick,(593)669-2005x894,hsanchez@example.net,male,24,7222 Cameron Brook Suite 700,Port Deborahview,CT,72268,2018-01-15,2022,Master's,Anthropology,false
11,332,Jose,Rhodes,(505)560-6177x988,fisherlindsey@example.com,male,40,80103 Strong Keys,Brownbury,AZ,77591,2018-05-06,2022,Bachelor's,Software Engineering,false
12,3735,Barbara,Garcia,+1-572-435-5316x98895,barkerryan@example.com,female,30,9506 Harris Hills Apt. 288,Port Kaylaside,HI,48863,2016-06-08,2020,Master's,Theatre Arts,false
13,435,Cynthia,Flynn,(291)779-3766,staffordraymond@example.org,female,32,1633 Scott Crescent Apt. 745,Lake Nicoleborough,MA,73383,2015-05-12,2020,Bachelor's,Software Engineering,false
14,2685,Joel,Dixon,+1-753-237-6479,richard06@example.net,female,31,17017 Brown Flat Apt. 103,Lake Shawn,VA,64506,2016-01-13,2021,Bachelor's,History,false
15,1854,Raymond,Price,563-720-8703x80895,natasharobinson@example.org,male,25,34687 Collins Forges,North Brad,VT,85014,2014-12-16,2018,Master's,Economics,false
16,1147,Sabrina,Taylor,671-398-3721x5836,amanda30@example.com,female,29,24693 Stephanie Loaf Apt. 393,South Kathleenstad,ME,05646,2014-09-14,2018,Master's,English Literature,false
17,1268,Kelly,Lynch,(399)495-6963x26593,lrobinson@example.com,male,40,947 Rebecca Fields,Bradleyborough,ME,32036,2016-09-05,2021,Master's,English Literature,false
18,742,Travis,Smith,001-325-644-5229x24806,amyhoffman@example.net,female,34,608 Anderson Crest,Lake Jeffreyton,MP,63076,2017-04-02,2021,Master's,Economics,false
19,2965,Joel,Mendoza,939-850-4833,amartinez@example.net,male,33,69617 Marisa Lodge Suite 451,South Jacquelinemouth,AK,65241,2016-07-25,2021,Bachelor's,Graphic Design,false
20,410,Carol,Wilkerson,286-718-1711,pmoore@example.net,female,23,Unit 8598 Box 9882,--,--,49080,2018-04-13,2023,Master's,Astronomy,false
21,3784,Michael,Shepherd,001-260-674-4964x22961,timothysanchez@example.org,female,24,767 Christopher Fort Apt. 634,North Jennifer,SD,85744,2017-12-03,2022,Master's,Computer Science,false
22,1251,Robin,Cook,924-862-5923,craig46@example.net,female,23,6540 Nicholas Falls Suite 635,West Jennifermouth,AZ,84052,2014-05-07,2019,Master's,Journalism,false
23,2162,Brittany,Williamson,001-963-679-8940x00791,farcher@example.net,male,38,9853 Connie Trail Apt. 782,North Cole,NV,26922,2018-07-29,2022,Master's,Physics,false
24,87,Joshua,Lester,540.424.9644x514,morganmarissa@example.org,male,23,71698 Bell Walks Suite 228,West Jose,NJ,01625,2018-09-26,2023,Master's,Sociology,false
25,1182,Cindy,Steele,+1-902-774-2074x711,parkscheryl@example.net,male,29,530 Shane Islands Suite 723,New Joshuahaven,NC,48693,2017-06-05,2021,Master's,Graphic Design,false
26,943,Eric,Chang,545.215.7002,williamstammy@example.com,male,36,891 Patrick Turnpike Apt. 729,New Luisside,GU,55190,2017-11-28,2021,Bachelor's,Marketing,false
27,2108,Jessica,Bennett,(233)864-7866x1305,brownkevin@example.com,female,27,16511 Love Lane Apt. 327,Davidberg,WV,99032,2015-03-11,2020,Master's,Business Administration,true
28,2629,Sandra,Smith,+1-931-880-0389x039,josephdevin@example.org,female,27,9091 Phillips Trafficway,East Jennifer,WY,05504,2018-03-15,2023,Master's,Physics,false
