,first_name,last_name,email,phone_number,isAlumni,footballGamesAttended,hasBookstorePurchases,totalspentonmerch,isOnMailingList,hasAttendedKSUGames,gameonedate,gameonespent,gametwodate,gametwospent,gamethreedate,gamethreespent
0,Jeffery,Williamson,mccormickchristopher@example.org,(504)270-9785,False,0,True,26.0,False,False,--,0,--,0,--,0
1,Daniel,Chapman,latasha12@example.net,859.493.3029x882,False,0,True,11.0,False,False,--,0,--,0,--,0
2,Jeffrey,Walker,randywade@example.net,(956)521-3326,False,0,True,150.0,False,False,--,0,--,0,--,0
3,Gregory,Hanson,waltermathews@example.com,666.782.0002x700,False,0,True,136.0,False,False,--,0,--,0,--,0
4,Matthew,Williamson,etaylor@example.net,001-901-860-5785,False,0,True,27.0,False,False,--,0,--,0,--,0
5,Christopher,Moon,jacksonthomas@example.org,001-937-920-0534x1339,False,0,True,12.0,False,False,--,0,--,0,--,0
6,Stephanie,King,madisonharris@example.org,+1-639-300-2706x4727,False,0,True,4.0,False,False,--,0,--,0,--,0
7,Daniel,Gould,larsenjohnny@example.org,001-349-666-7625,False,0,True,146.0,False,False,--,0,--,0,--,0
8,Candace,Brown,qchavez@example.com,(560)376-0763x95481,False,0,True,18.0,False,False,--,0,--,0,--,0
9,Stephen,Lee,mitchellstephanie@example.com,560.549.1709x740,False,0,True,74.0,False,False,--,0,--,0,--,0
10,Debra,Brown,stevenwilson@example.com,6453678988,False,0,True,40.0,False,False,--,0,--,0,--,0
11,Stacey,Moyer,gwalker@example.org,768.378.5991x5688,False,0,True,16.0,False,False,--,0,--,0,--,0
12,Jeremy,Hayes,pbell@example.org,671-748-8986x39395,False,0,True,11.0,False,False,--,0,--,0,--,0
13,Jessica,Ruiz,luke74@example.net,(804)204-7219,False,0,True,51.0,False,False,--,0,--,0,--,0
14,Chad,Pena,kennethturner@example.com,+1-322-597-8680x5071,False,0,True,138.0,False,False,--,0,--,0,--,0
15,Sean,Bowen,suzanne54@example.com,934.952.7073x94161,False,0,True,97.0,False,False,--,0,--,0,--,0
16,Bryan,Dunlap,brianna71@example.com,794.428.1173,False,0,True,132.0,False,False,--,0,--,0,--,0
17,Eric,Becker,dhowe@example.net,887-495-4911x5694,False,0,True,138.0,False,False,--,0,--,0,--,0
18,Alyssa,Lee,angelica42@example.net,(728)738-7295x0793,False,0,True,44.0,False,False,--,0,--,0,--,0
19,Rebecca,Cortez,deannashepherd@example.net,(983)859-7902,False,0,True,13.0,False,False,--,0,--,0,--,0
20,Matthew,King,barryschneider@example.com,+1-209-973-2903,False,0,True,17.0,False,False,--,0,--,0,--,0
21,Zachary,Hess,westrada@example.net,(257)481-8090,False,0,True,21.0,False,False,--,0,--,0,--,0
22,Kimberly,Parker,lisamcdaniel@example.com,+1-498-290-7205x3417,False,0,True,36.0,False,False,--,0,--,0,--,0
23,Austin,Hernandez,vwashington@example.net,001-845-945-3135x652,False,0,True,107.0,False,False,--,0,--,0,--,0
24,Roberto,Green,samanthacortez@example.net,811-335-5943,False,0,True,67.0,False,False,--,0,--,0,--,0
25,Katie,Khan,garretthansen@example.net,897.332.9136x600,False,0,True,49.0,False,False,--,0,--,0,--,0
26,Sandra,Dixon,pporter@example.com,+1-696-221-0182x40931,False,0,True,19.0,False,False,--,0,--,0,--,0
27,William,Schmitt,kjames@example.com,001-950-590-0453x6078,False,0,True,106.0,False,False,--,0,--,0,--,0
28,Nicole,Lopez,aprilbailey@example.net,001-687-656-1155,False,0,True,62.0,False,False,--,0,--,0,--,0
29,Patricia,Hall,claudiaturner@example.com,+1-894-864-1002x1671,False,0,True,40.0,False,False,--,0,--,0,--,0
30,Christopher,Bird,haley24@example.net,2713477534,False,0,True,130.0,False,False,--,0,--,0,--,0
31,Sarah,Roberts,thomaskenneth@example.net,001-208-753-2134x95809,False,0,True,104.0,False,False,--,0,--,0,--,0
32,Lori,Brewer,cholmes@example.com,(244)932-9267x51173,False,0,True,24.0,False,False,--,0,--,0,--,0
33,Jonathan,Yates,ramosjohn@example.com,503-674-6665x7752,False,0,True,52.0,False,False,--,0,--,0,--,0
34,Jaclyn,Singleton,daniellove@example.org,672.785.2509,False,0,True,41.0,False,False,--,0,--,0,--,0
35,Peter,Brown,frankmann@example.org,6337144545,False,0,True,50.0,False,False,--,0,--,0,--,0
36,James,Aguirre,ytaylor@example.com,+1-573-666-4656x79852,False,0,True,69.0,False,False,--,0,--,0,--,0
37,Julie,Mason,xkim@example.net,001-671-837-8734x74701,False,0,True,105.0,False,False,--,0,--,0,--,0
38,Carlos,Walker,danielle43@example.net,753-376-3735x7648,False,0,True,77.0,False,False,--,0,--,0,--,0
39,Dean,Norris,valerie13@example.com,543-683-3664x22390,False,0,True,48.0,False,False,--,0,--,0,--,0
40,Kristine,Hudson,phillipscheryl@example.net,9538585919,False,0,True,10.0,False,False,--,0,--,0,--,0
41,Laura,Miller,oward@example.org,(817)663-8780,False,0,True,0.0,False,False,--,0,--,0,--,0
42,Elizabeth,Howell,jodi57@example.net,613.300.5555x883,False,0,True,74.0,False,False,--,0,--,0,--,0
43,Michael,Daniels,ronaldrobinson@example.org,(491)351-0964,False,0,True,19.0,False,False,--,0,--,0,--,0
44,Amy,Carter,whitney03@example.net,3713712274,False,0,True,126.0,False,False,--,0,--,0,--,0
45,Brandy,Hill,rrobinson@example.org,001-744-911-7039x032,False,0,True,119.0,False,False,--,0,--,0,--,0
46,Joel,Williams,suzanne78@example.org,649.381.1856,False,0,True,13.0,False,False,--,0,--,0,--,0
47,Anthony,Poole,xphillips@example.net,3637023352,False,0,True,11.0,False,False,--,0,--,0,--,0
48,Wayne,Dunn,emilybooker@example.com,(725)856-0408x30842,False,0,True,31.0,False,False,--,0,--,0,--,0
49,Christina,White,zstevenson@example.com,(976)534-4012x552,False,0,True,130.0,False,False,--,0,--,0,--,0
50,Daniel,Rodriguez,msummers@example.com,+1-591-391-9553x9189,False,0,True,102.0,False,False,--,0,--,0,--,0
51,Chad,Harper,hallmary@example.net,975-335-3985,False,0,True,22.0,False,False,--,0,--,0,--,0
52,Janice,Chavez,christianlee@example.net,(527)794-5057,False,0,True,6.0,False,False,--,0,--,0,--,0
53,Daniel,Potter,michael42@example.org,735.826.3259,False,0,True,20.0,False,False,--,0,--,0,--,0
54,Ryan,Allen,courtney46@example.org,439-707-9926x0913,False,0,True,61.0,False,False,--,0,--,0,--,0
55,Scott,Snow,charles95@example.com,351-899-6241x79561,False,0,True,121.0,False,False,--,0,--,0,--,0
56,William,Simmons,hhill@example.com,(381)492-1204,False,0,True,149.0,False,False,--,0,--,0,--,0
57,Christian,Thompson,jasonjohnson@example.com,646.962.6839x56952,False,0,True,52.0,False,False,--,0,--,0,--,0
58,Tyler,Underwood,pkaiser@example.com,204-535-5981x0234,False,0,True,74.0,False,False,--,0,--,0,--,0
