,id,first_name,last_name,phone_number,email,purchasedate,moneyspent
0,936,Barbara,Hudson,797.888.5823x04764,johnsonvincent@example.net,2019-05-06,134.0
1,2386,Darlene,Bonilla,001-786-923-8041x9090,timothy11@example.org,2023-06-15,119.0
2,3215,Kim,Liu,302-299-2172x102,courtney62@example.net,2022-02-05,110.0
3,1397,Rebecca,Brooks,(833)643-6445,grossdaniel@example.com,2022-03-23,105.0
4,3474,Seth,Mcfarland,(860)625-4497,gilmoremicheal@example.com,2019-04-03,105.0
5,2603,Leon,Warren,363.383.2965,anne70@example.com,2021-11-22,50.0
6,1647,Sean,Hamilton,(425)492-6021x915,adam90@example.org,2021-12-29,147.0
7,3374,Stacy,Hoffman,+1-275-920-2337x173,schaeferamy@example.org,2019-10-30,102.0
8,1108,Lauren,Vargas,932.353.0661,greennicholas@example.net,2020-01-21,79.0
9,2941,Bryan,Washington,978-582-8977x1906,jillianwilson@example.net,2019-06-11,98.0
10,127,Steve,Gibbs,(993)959-4145x26677,ygreen@example.org,2023-07-19,141.0
11,2698,Kelly,Brown,413-213-9632x501,scotthudson@example.org,2022-12-09,80.0
12,1321,John,Hall,(211)399-0184x48180,michelle07@example.org,2023-06-01,58.0
13,2418,James,Johnson,285.648.3462,maureenpatel@example.com,2020-05-27,26.0
14,2857,Rebecca,Smith,360.658.9288x3748,gwilliams@example.org,2018-11-09,23.0
15,3202,Jeremiah,Shea,999-860-2163,sydney02@example.com,2020-03-22,13.0
16,3863,Laura,Todd,836.845.4714x674,dking@example.net,2022-12-07,109.0
17,7,Kristen,Bates,611-723-7030x9299,greg04@example.net,2023-02-25,101.0
18,3341,Victoria,Hill,705-907-8860x6397,cdavies@example.org,2023-05-03,57.0
19,2139,Robert,Reed,001-204-427-4717x0530,harold68@example.net,2021-12-02,23.0
20,1658,Matthew,Smith,(412)724-3876,oosborn@example.net,2022-07-20,147.0
21,3335,Paul,Logan,001-805-323-9980x5043,leachsamantha@example.net,2022-10-10,6.0
22,2887,Christina,Wilson,764-604-7736,vjohnson@example.net,2022-05-17,10.0
23,2389,Cindy,Ramos,(596)479-5656x3138,austinlambert@example.org,2023-01-22,69.0
24,386,Laura,Pierce,634-325-5482x290,crystalwise@example.com,2022-03-21,144.0
25,2194,Kurt,Miller,001-586-653-4441x1845,christopherhurley@example.net,2023-04-27,4.0
26,543,Christopher,Lawson,001-209-493-7081x262,wstewart@example.org,2020-08-18,45.0
27,3201,Samantha,Guerrero,(935)478-8976x292,osnyder@example.net,2022-11-06,135.0
28,3532,Ryan,Young,001-690-674-1772,taylormegan@example.org,2022-10-25,68.0
29,3983,Stanley,Harris,+1-481-961-6015x17810,matthew54@example.com,2019-04-14,88.0
30,1717,David,Bowman,913-544-3163x097,stevenvaughn@example.net,2021-05-24,33.0
31,915,Stephen,Barry,732-661-0831x86778,jefferysoto@example.com,2021-02-08,127.0
32,597,Kevin,Johnson,(612)952-3787x45439,alexanderrichard@example.net,2019-09-29,0.0
33,2841,Abigail,Roberts,+1-503-801-6248x4726,levymichael@example.org,2019-12-07,107.0
34,1587,Brenda,Roth,001-475-441-0487x042,jeremyporter@example.net,2020-01-01,62.0
35,1662,Timothy,Allen,999.695.9356x968,maurice60@example.net,2023-07-29,81.0
36,974,Tyler,Meyer,(618)971-0769x120,maryedwards@example.net,2019-04-09,148.0
37,599,Diamond,Herrera,001-695-590-6250,youngjonathan@example.org,2021-10-16,3.0
38,1032,Elizabeth,Sullivan,9837548534,longlinda@example.net,2021-04-04,42.0
39,48,Angela,Hooper,+1-899-552-8570x72806,watkinschristopher@example.com,2023-02-08,141.0
40,3645,Stephen,Flores,(337)849-7725,jeffreywebb@example.org,2023-01-13,29.0
41,1491,Michael,Hinton,+1-859-319-9422x9469,james48@example.com,2019-05-26,35.0
42,707,Paula,Weeks,001-861-489-2875x981,brownmargaret@example.net,2022-11-07,64.0
43,1383,Edgar,Davenport,838-578-4337x467,amyhaynes@example.net,2022-07-27,12.0
44,2842,Yolanda,Martinez,600-340-5407x4263,hbonilla@example.net,2023-09-29,4.0
45,804,Samuel,Hatfield,001-359-715-4177x3757,schroederjames@example.net,2020-05-08,111.0
46,2282,Elizabeth,Robinson,824-918-6641x960,hallkaren@example.net,2023-04-14,50.0
47,504,Linda,Graham,(815)571-0885x40566,rose63@example.org,2023-01-21,148.0
48,2367,Nicole,Suarez,001-507-781-6863,sabrinajohnson@example.net,2023-01-06,63.0
49,1778,David,Johnson,001-945-494-1135,ronalddavis@example.com,2022-03-18,77.0
50,3256,John,Scott,5566099315,daniellawson@example.net,2019-06-07,86.0
51,687,Stephanie,Christian,001-569-978-1700,xporter@example.com,2019-03-04,72.0
52,1021,Kenneth,Lee,+1-516-628-5935,wlewis@example.net,2022-11-30,125.0
53,822,Alicia,Hicks,001-576-461-6393x667,fergusonmatthew@example.org,2022-06-17,59.0
54,3470,Kimberly,Watts,584.231.2956x382,austin73@example.org,2020-09-02,42.0
55,1361,Krystal,Horne,+1-671-528-7609x1017,michaelwilson@example.com,2019-06-08,53.0
56,502,Thomas,Robles,(473)930-8393x03656,samanthathomas@example.org,2022-07-26,147.0
57,1934,Megan,Garcia,897-606-1824x47335,tracieowens@example.com,2022-11-07,145.0
58,419,Mitchell,Rogers,481-896-8496x549,gmason@example.net,2020-05-16,36.0
59,525,Katrina,Charles,001-596-834-9452x020,vanessa12@example.net,2020-01-05,29.0
60,2653,Julia,Barton,391-272-1427x37583,mcdonaldanthony@example.org,2018-12-29,93.0
61,57,Sandy,Hardy,+1-311-696-2966x7316,xevans@example.com,2022-03-29,41.0
62,3950,Maureen,Martin,400-294-9331x583,teresa00@example.com,2018-12-05,45.0
63,3789,Tiffany,Foster,(837)762-3099,branchsandra@example.net,2019-12-10,82.0
64,1528,Lisa,Hanson,+1-666-807-2744x5373,lawrenceallen@example.com,2020-01-16,102.0
65,156,Nicole,Ford,652-529-5372,lindsay49@example.net,2020-06-04,142.0
66,2811,Brittany,Gonzales,(726)425-2316,gregorycody@example.com,2020-03-11,106.0
