,id,first_name,last_name,purchasedate,moneyspent,gamedate
0,2841,Colton,Russo,2022-11-08,54,2022-11-12
1,1112,Gregory,Tran,2022-09-10,96,2022-10-15
2,787,Jason,Martin,2022-08-30,52,2022-10-15
3,837,Ryan,Roberts,2023-08-19,101,2023-08-31
4,3585,Sierra,Ferguson,2021-09-19,92,2021-10-16
5,903,Michelle,Castaneda,2019-09-25,105,2019-11-09
6,873,Eric,Bell,2021-10-14,70,2021-10-16
7,329,Marissa,Choi,2020-08-28,51,2020-11-14
8,3378,David,Preston,2023-07-21,90,2023-09-16
9,685,James,May,2021-08-12,37,2021-09-02
10,3117,Laura,Adams,2023-07-30,44,2023-10-07
11,1803,Robert,Carr,2021-09-18,55,2021-10-02
12,1825,Richard,Campbell,2019-07-20,95,2019-10-19
13,1683,Olivia,Valdez,2021-07-10,56,2021-10-02
14,1315,Mason,Hernandez,2019-08-31,55,2019-10-19
15,435,Heather,King,2022-09-17,104,2022-10-08
16,2591,Adam,Maldonado,2021-10-01,33,2021-10-30
17,270,Samuel,Williams,2022-08-09,80,2022-09-24
18,825,Donald,Lee,2019-09-30,117,2019-10-12
19,3024,Michelle,Ali,2022-09-10,116,2022-10-29
20,1084,Ian,Reed,2023-08-13,95,2023-08-31
21,962,Fernando,Payne,2019-06-07,48,2019-08-31
22,3590,Karen,Baker,2019-09-02,78,2019-09-21
23,1851,Nicole,Tran,2019-06-04,67,2019-08-31
24,886,Joy,Calderon,2019-11-19,60,2019-11-30
25,1613,Thomas,Watts,2019-09-10,119,2019-11-30
26,187,Jessica,Lopez,2022-07-07,141,2022-10-08
27,2375,Edward,Elliott,2023-07-24,88,2023-08-31
28,1005,Ashley,Carr,2021-07-08,130,2021-09-02
29,625,Sheila,White,2019-08-06,76,2019-08-31
30,490,Melissa,Perez,2021-07-17,101,2021-09-02
31,1006,Makayla,Meyer,2022-07-16,103,2022-10-15
32,3573,Samantha,Davis,2023-08-17,120,2023-09-16
33,3542,Kelly,Campbell,2022-08-02,146,2022-10-22
34,1881,Susan,Sawyer,2019-08-09,64,2019-10-12
35,2116,Kimberly,Sims,2022-08-19,69,2022-10-22
36,2792,Amy,Sanchez,2023-08-25,62,2023-10-07
37,2621,Nicholas,Hardin,2019-10-12,81,2019-11-30
38,1109,Tasha,Walker,2020-09-23,103,2020-11-14
39,678,Robin,May,2019-08-25,64,2019-09-21
40,2462,Peter,Johnston,2021-10-12,79,2021-10-16
41,533,Christina,Harris,2023-08-29,121,2023-09-16
42,775,Leah,Potts,2019-07-31,49,2019-08-31
43,1732,Michael,Velez,2022-07-24,86,2022-10-15
44,2424,Katherine,Blair,2022-10-10,73,2022-10-22
45,3251,Charles,Wilson,2023-07-15,141,2023-10-07
46,3909,Jody,Klein,2022-08-22,103,2022-10-22
47,3834,Carly,Potter,2020-08-10,119,2020-10-10
48,1959,Amanda,Fernandez,2023-07-14,142,2023-10-07
49,2165,Sheila,Miller,2023-06-05,75,2023-08-31
50,1300,Dustin,Smith,2022-08-16,133,2022-11-12
51,2178,Jeff,Hampton,2021-08-08,74,2021-10-02
52,581,Jonathan,Patterson,2022-08-28,69,2022-10-08
53,2869,Jacob,Graham,2022-08-27,46,2022-10-08
54,2297,Andrew,Smith,2021-09-21,94,2021-10-02
55,2501,Jill,Bean,2019-11-12,133,2019-11-30
56,3520,Amy,Jennings,2022-09-06,101,2022-10-22
57,1356,Patrick,Thompson,2022-10-07,56,2022-10-22
58,1089,Keith,Gonzalez,2019-08-09,99,2019-10-12
59,3839,Ian,Kent,2022-07-04,49,2022-10-08
60,558,Samantha,James,2020-07-26,121,2020-10-10
61,2746,Brandy,Reyes,2022-08-27,64,2022-10-22
62,3182,Brendan,Munoz,2019-08-27,124,2019-10-12
63,3135,Eric,Salazar,2022-09-26,51,2022-10-15
64,3682,Taylor,Jacobs,2019-10-09,105,2019-11-09
65,3731,Shawn,Spencer,2020-08-04,58,2020-10-24
66,2849,Kristina,Nguyen,2023-08-10,64,2023-10-28
67,1052,Roger,Wright,2022-10-09,63,2022-11-12
68,863,David,Johnson,2020-07-16,83,2020-10-10
69,1033,Cory,Wood,2022-07-09,92,2022-09-24
70,3505,Marc,Swanson,2021-07-26,71,2021-10-02
71,1060,Stephen,Gregory,2022-08-29,125,2022-10-29
72,2566,Steven,Scott,2020-08-06,148,2020-10-10
73,3260,Michael,Dillon,2022-10-01,96,2022-11-12
74,3995,Heather,Sharp,2020-10-02,56,2020-10-24
75,324,Mary,Shannon,2019-10-19,71,2019-11-09
76,1919,Chad,Torres,2020-08-19,82,2020-11-14
77,3406,David,Rubio,2022-08-22,42,2022-10-15
78,2475,Brian,Davidson,2020-08-06,94,2020-10-10
79,3021,Erin,Burnett,2023-08-18,44,2023-09-16
80,1782,Paul,Owens,2019-08-18,50,2019-11-09
81,2619,Anne,Brown,2022-09-03,148,2022-10-22
82,61,Kelly,Cooper,2021-07-29,67,2021-09-02
83,3104,Angela,Torres,2022-07-18,140,2022-09-24
84,2932,Arthur,Torres,2023-10-13,71,2023-10-28
