,first_name,last_name,email,phone_number,source,user_type
1,Darlene,Bonilla,timothy11@example.org,001-786-923-8041x9090,merchandise_buyers,semi_super_user
4,Seth,Mcfarland,gilmoremicheal@example.com,(860)625-4497,merchandise_buyers,semi_super_user
8,Lauren,Vargas,greennicholas@example.net,932.353.0661,merchandise_buyers,semi_super_user
13,James,Johnson,maureenpatel@example.com,285.648.3462,merchandise_buyers,semi_super_user
17,Kristen,Bates,greg04@example.net,611-723-7030x9299,merchandise_buyers,semi_super_user
20,Matthew,Smith,oosborn@example.net,(412)724-3876,merchandise_buyers,semi_super_user
21,Paul,Logan,leachsamantha@example.net,001-805-323-9980x5043,merchandise_buyers,semi_super_user
22,Christina,Wilson,vjohnson@example.net,764-604-7736,merchandise_buyers,semi_super_user
25,Kurt,Miller,christopherhurley@example.net,001-586-653-4441x1845,merchandise_buyers,semi_super_user
26,Christopher,Lawson,wstewart@example.org,001-209-493-7081x262,merchandise_buyers,semi_super_user
27,Samantha,Guerrero,osnyder@example.net,(935)478-8976x292,merchandise_buyers,semi_super_user
28,Ryan,Young,taylormegan@example.org,001-690-674-1772,merchandise_buyers,semi_super_user
31,Stephen,Barry,jefferysoto@example.com,732-661-0831x86778,merchandise_buyers,semi_super_user
32,Kevin,Johnson,alexanderrichard@example.net,(612)952-3787x45439,merchandise_buyers,semi_super_user
34,Brenda,Roth,jeremyporter@example.net,001-475-441-0487x042,merchandise_buyers,semi_super_user
35,Timothy,Allen,maurice60@example.net,999.695.9356x968,merchandise_buyers,semi_super_user
36,Tyler,Meyer,maryedwards@example.net,(618)971-0769x120,merchandise_buyers,semi_super_user
39,Angela,Hooper,watkinschristopher@example.com,+1-899-552-8570x72806,merchandise_buyers,semi_super_user
40,Stephen,Flores,jeffreywebb@example.org,(337)849-7725,merchandise_buyers,semi_super_user
47,Linda,Graham,rose63@example.org,(815)571-0885x40566,merchandise_buyers,semi_super_user
48,Nicole,Suarez,sabrinajohnson@example.net,001-507-781-6863,merchandise_buyers,semi_super_user
49,David,Johnson,ronalddavis@example.com,001-945-494-1135,merchandise_buyers,semi_super_user
51,Stephanie,Christian,xporter@example.com,001-569-978-1700,merchandise_buyers,semi_super_user
61,Sandy,Hardy,xevans@example.com,+1-311-696-2966x7316,merchandise_buyers,semi_super_user
65,Nicole,Ford,lindsay49@example.net,652-529-5372,merchandise_buyers,semi_super_user
66,Brittany,Gonzales,gregorycody@example.com,(726)425-2316,merchandise_buyers,semi_super_user
67,Charles,Anthony,andersondawn@example.org,5795834878,merchandise_buyers,semi_super_user
72,Rachel,Lewis,julieberry@example.com,(965)797-0216x0828,merchandise_buyers,semi_super_user
73,Bradley,Smith,heatherbrown@example.com,9154680185,merchandise_buyers,semi_super_user
74,Helen,Cole,parksdeborah@example.net,484-830-0675x1601,merchandise_buyers,semi_super_user
75,Kathryn,Patterson,linda86@example.com,305.757.1841,merchandise_buyers,semi_super_user
